id,variant,ime_seta,tema,leto,tip_seta,figurice,st_kock,us_cena,eu_cena,us_ppp,eu_ppp,pakiranje,dostopnost,us_cas_izida,eu_cas_izida
70911,1,The Penguin Arctic Roller,The LEGO Batman Movie,2017,normal,2,305,29.99,34.99,9.8,11.5,Box,Retail - limited,Jan 17,Jan 17
70912,1,Arkham Asylum,The LEGO Batman Movie,2017,normal,13,1628,149.99,149.99,9.2,9.2,Box,Retail - limited,Jan 17,Jan 17
70913,1,Scarecrow Fearful Face-off,The LEGO Batman Movie,2017,normal,2,141,14.99,14.99,10.6,10.6,Box,Retail,Jun 17,Jun 17
70914,1,Bane Toxic Truck Attack,The LEGO Batman Movie,2017,normal,3,366,49.99,49.99,13.7,13.7,Box,Retail,Jun 17,Jun 17
70915,1,Two-Face Double Demolition,The LEGO Batman Movie,2017,normal,4,564,59.99,49.99,10.6,8.9,Box,Retail,Jun 17,Jun 17
70916,1,The Batwing,The LEGO Batman Movie,2017,normal,3,1053,89.99,89.99,8.5,8.5,Box,Retail,Jun 17,Jun 17
70917,1,The Ultimate Batmobile,The LEGO Batman Movie,2017,normal,8,1456,139.99,129.99,9.6,8.9,Box,Retail,Jun 17,Jun 17
70922,1,The Joker Manor,The LEGO Batman Movie,2017,normal,10,3444,269.99,269.99,7.8,7.8,Box,LEGO exclusive,Nov 17,Nov 17
71017,0,LEGO Minifigures - The LEGO Batman Movie Series {Random bag},Collectable Minifigures,2017,random,,,,,,,Foil pack,Retail,,
71017,1,Lobster-Lovin' Batman,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71017,2,Glam Metal Batman,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71017,3,Fairy Batman,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71017,4,Clan of the Cave Batman,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71017,5,Vacation Batman,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71017,6,Barbara Gordon,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71017,7,Commissioner Gordon,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71017,8,Arkham Asylum Joker,Collectable Minifigures,2017,normal,1,,3.99,,79.8,79.8,Foil pack,Retail,,
71017,9,Dick Grayson,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71017,10,Pink Power Batgirl,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71017,11,Red Hood,Collectable Minifigures,2017,normal,1,,3.99,,49.9,49.9,Foil pack,Retail,,
71017,12,Eraser,Collectable Minifigures,2017,normal,1,,3.99,,79.8,79.8,Foil pack,Retail,,
71017,13,Nurse Harley Quinn,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71017,14,Orca,Collectable Minifigures,2017,normal,1,,3.99,,99.8,99.8,Foil pack,Retail,,
71017,15,Zodiac Master,Collectable Minifigures,2017,normal,1,,3.99,,79.8,79.8,Foil pack,Retail,,
71017,16,Catman,Collectable Minifigures,2017,normal,1,,3.99,,49.9,49.9,Foil pack,Retail,,
71017,17,March Harriet,Collectable Minifigures,2017,normal,1,,3.99,,79.8,79.8,Foil pack,Retail,,
71017,18,Calculator,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71017,19,King Tut,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71017,20,Mime,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71017,21,LEGO Minifigures - The LEGO Batman Movie Series - Complete,Collectable Minifigures,2017,collection,20,,,,,,,,,
71017,22,LEGO Minifigures - The LEGO Batman Movie Series - Sealed Box,Collectable Minifigures,2017,collection,,,3.99,3.99,,,,,Jan 17,Jan 17
71018,0,LEGO Minifigures - Series 17 {Random bag},Collectable Minifigures,2017,random,,,,,,,,,,
71018,1,Professional Surfer,Collectable Minifigures,2017,normal,1,,3.99,,79.8,79.8,Foil pack,Retail,,
71018,2,Circus Strong Man,Collectable Minifigures,2017,normal,1,,3.99,,79.8,79.8,Foil pack,Retail,,
71018,3,Gourmet Chef,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71018,4,Corn Cob Guy,Collectable Minifigures,2017,normal,1,,3.99,,99.8,99.8,Foil pack,Retail,,
71018,5,Veterinarian,Collectable Minifigures,2017,normal,1,,3.99,,79.8,79.8,Foil pack,Retail,,
71018,6,Hot Dog Man,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71018,7,Butterfly Girl,Collectable Minifigures,2017,normal,1,,3.99,,44.3,44.3,Foil pack,Retail,,
71018,8,Roman Gladiator,Collectable Minifigures,2017,normal,1,,3.99,,79.8,79.8,Foil pack,Retail,,
71018,9,Connoisseur,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71018,10,Battle Dwarf,Collectable Minifigures,2017,normal,1,,3.99,,49.9,49.9,Foil pack,Retail,,
71018,11,Retro Spaceman,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71018,12,Yuppie,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71018,13,Rocket Boy,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71018,14,Dance Instructor,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71018,15,Elf Girl,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71018,16,Highwayman,Collectable Minifigures,2017,normal,1,,3.99,3.99,49.9,49.9,Foil pack,Retail,May 17,May 17
71018,17,LEGO Minifigures - Series 17 - Complete,Collectable Minifigures,2017,collection,16,,,,,,,,,
71018,18,LEGO Minifigures - Series 17 - Sealed Box,Collectable Minifigures,2017,collection,,,3.99,3.99,,,,,Jun 17,Jun 17
71019,0,LEGO Minifigures - The LEGO NINJAGO Movie Series - Random bag,Collectable Minifigures,2017,random,,,,,,,Foil pack,Retail,,
71019,1,Kai Kendo,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71019,2,Spinjitzu Training Nya,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71019,3,Lloyd,Collectable Minifigures,2017,normal,1,,3.99,,44.3,44.3,Foil pack,Retail,,
71019,4,Master Wu,Collectable Minifigures,2017,normal,1,,3.99,,49.9,49.9,Foil pack,Retail,,
71019,5,Garmadon,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71019,6,Jay Walker,Collectable Minifigures,2017,normal,1,,3.99,,44.3,44.3,Foil pack,Retail,,
71019,7,Lloyd Garmadon,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71019,8,Cole,Collectable Minifigures,2017,normal,1,,3.99,,79.8,79.8,Foil pack,Retail,,
71019,9,Misako,Collectable Minifigures,2017,normal,1,,3.99,,79.8,79.8,Foil pack,Retail,,
71019,10,Zane,Collectable Minifigures,2017,normal,1,,3.99,,79.8,79.8,Foil pack,Retail,,
71019,11,Shark Army General #1,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71019,12,Shark Army Octopus,Collectable Minifigures,2017,normal,1,,3.99,,49.9,49.9,Foil pack,Retail,,
71019,13,Shark Army Angler,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71019,14,Shark Army Great White,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71019,15,Flashback Garmadon,Collectable Minifigures,2017,normal,1,,3.99,,49.9,49.9,Foil pack,Retail,,
71019,16,Volcano Garmadon,Collectable Minifigures,2017,normal,1,,3.99,,57.0,57.0,Foil pack,Retail,,
71019,17,Gong & Guitar Rocker,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71019,18,GPL Tech,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71019,19,Sushi Chef,Collectable Minifigures,2017,normal,1,,3.99,,49.9,49.9,Foil pack,Retail,,
71019,20,N-POP Girl,Collectable Minifigures,2017,normal,1,,3.99,,66.5,66.5,Foil pack,Retail,,
71019,21,LEGO Minifigures - The LEGO NINJAGO Movie Series - Complete,Collectable Minifigures,2017,collection,20,,,,,,,,,
71019,22,LEGO Minifigures - The LEGO NINJAGO Movie Series - Sealed Box,Collectable Minifigures,2017,collection,,,3.99,3.99,,,,,Aug 17,Aug 17
71042,1,Silent Mary,Pirates of the Caribbean,2017,normal,8,2294,199.99,199.99,8.7,8.7,Box,LEGO exclusive,Apr 17,Apr 17
71255,1,Teen Titans Go! Team Pack,Dimensions,2017,normal,2,105,24.99,24.99,23.8,23.8,Box,Retail,Sep 17,Sep 17
71264,1,The LEGO Batman Movie: Play the Complete Movie,Dimensions,2017,normal,2,156,44.99,44.99,28.8,28.8,Box,Retail,Feb 17,Feb 17
71266,1,Chase McCain Fun Pack,Dimensions,2017,normal,1,46,14.99,14.99,32.6,32.6,Box,Retail,May 17,May 17
71267,1,The Goonies Level Pack,Dimensions,2017,normal,1,118,29.99,29.99,25.4,25.4,Box,Retail,May 17,May 17
71286,1,Knight Rider Fun Pack,Dimensions,2017,normal,1,55,14.99,14.99,27.3,27.3,Box,Retail,Feb 17,Feb 17
71287,1,Starfire Fun Pack,Dimensions,2017,normal,1,56,14.99,14.99,26.8,26.8,Box,Retail,Sep 17,Sep 17
71343,1,Buttercup Fun Pack,Dimensions,2017,normal,1,56,14.99,14.99,26.8,26.8,Box,Retail,Sep 17,Sep 17
71344,1,Excalibur Batman Fun Pack,Dimensions,2017,normal,1,57,14.99,14.99,26.3,26.3,Box,Retail,Feb 17,Feb 17
71346,1,The Powerpuff Girls Team Pack,Dimensions,2017,normal,2,93,24.99,24.99,26.9,26.9,Box,Retail,Sep 17,Sep 17
